country,group_0_1,group_1_5,group_6_9,group_10_14,group_15_19,group_0_19,group_20_29,group_30_39,group_40_49,group_50_59,group_60_69,group_70_79,group_80_89,group_90,date
Bulgaria,,,,,,4707,9490,15356,17357,16118,12133,6027,1982,196,2020-11-11
Bulgaria,,,,,,4806,9821,16061,18177,16963,12809,6374,2097,203,2020-11-12
Bulgaria,,,,,,4887,10094,16662,18943,17715,13353,6659,2197,215,2020-11-13
Bulgaria,,,,,,4997,10484,17380,19817,18647,14004,7077,2310,221,2020-11-14
Bulgaria,,,,,,5067,10716,17802,20333,19127,14471,7316,2374,229,2020-11-15
Bulgaria,,,,,,5075,10775,17911,20495,19310,14633,7423,2399,230,2020-11-16
Bulgaria,,,,,,5145,11080,18568,21233,20048,15250,7710,2501,235,2020-11-17
Bulgaria,,,,,,5256,11482,19399,22261,21088,16079,8143,2640,250,2020-11-18
Bulgaria,,,,,,5340,11793,20027,23042,21971,16808,8544,2753,258,2020-11-19
Bulgaria,,,,,,5438,12134,20635,23782,22859,17469,8948,2891,279,2020-11-20
Bulgaria,,,,,,5526,12458,21264,24533,23702,18208,9351,3072,304,2020-11-21
Bulgaria,,,,,,5586,12622,21597,24982,24177,18606,9614,3193,320,2020-11-22
Bulgaria,,,,,,5606,12694,21763,25197,24387,18834,9761,3250,328,2020-11-23
Bulgaria,,,,,,5666,12957,22258,25852,25088,19365,10088,3359,333,2020-11-24
Bulgaria,,,,,,5772,13258,22938,26753,26118,20140,10545,3477,347,2020-11-25
Bulgaria,,,,,,5861,13573,23506,27466,26913,20831,10946,3602,362,2020-11-26
Bulgaria,,,,,,5929,13821,23999,28131,27683,21561,11375,3757,372,2020-11-27
Bulgaria,,,,,,6010,14062,24516,28745,28358,22240,11764,3879,381,2020-11-28
Bulgaria,,,,,,6044,14199,24782,29026,28733,22608,11999,3967,389,2020-11-29
Bulgaria,,,,,,6059,14252,24897,29152,28890,22752,12092,4001,391,2020-11-30
Bulgaria,,,,,,6120,14430,25284,29739,29495,23307,12415,4104,406,2020-12-01
Bulgaria,,,,,,6177,14678,25777,30393,30306,24006,12778,4245,415,2020-12-02
Bulgaria,,,,,,6230,14895,26252,30955,30980,24612,13177,4388,424,2020-12-03
Bulgaria,,,,,,6272,15129,26725,31563,31672,25246,13638,4519,429,2020-12-04
Bulgaria,,,,,,6350,15349,27235,32243,32469,25967,14063,4685,446,2020-12-05
Bulgaria,,,,,,6400,15491,27535,32649,32879,26365,14304,4771,450,2020-12-06
Bulgaria,,,,,,6421,15546,27628,32748,32971,26474,14384,4796,453,2020-12-07
Bulgaria,,,,,,6457,15696,27984,33274,33570,27068,14742,4930,464,2020-12-08
Bulgaria,,,,,,6506,15950,28569,34029,34478,27875,15215,5070,473,2020-12-09
Bulgaria,,,,,,6564,16176,28984,34615,35174,28566,15696,5233,485,2020-12-10
Bulgaria,,,,,,6630,16377,29379,35145,35821,29221,16116,5381,498,2020-12-11
Bulgaria,,,,,,6676,16563,29755,35666,36512,29872,16575,5531,515,2020-12-12
Bulgaria,,,,,,6693,16636,29925,35880,36784,30155,16770,5589,520,2020-12-13
Bulgaria,,,,,,6710,16657,29986,35957,36885,30256,16859,5617,522,2020-12-14
Bulgaria,,,,,,6739,16764,30246,36307,37390,30691,17160,5715,532,2020-12-15
Bulgaria,,,,,,6771,16911,30599,36768,37988,31291,17602,5817,540,2020-12-16
Bulgaria,,,,,,6797,17027,30805,37096,38404,31751,17892,5926,548,2020-12-17
Bulgaria,,,,,,6816,17164,31065,37409,38791,32184,18264,6040,555,2020-12-18
Bulgaria,,,,,,6843,17256,31266,37680,39137,32567,18549,6161,568,2020-12-19
Bulgaria,,,,,,6863,17315,31368,37831,39331,32789,18720,6238,574,2020-12-20
Bulgaria,,,,,,6865,17327,31385,37857,39366,32834,18736,6251,574,2020-12-21
Bulgaria,,,,,,6886,17406,31527,38049,39628,33096,18960,6337,583,2020-12-22
Bulgaria,,,,,,6925,17509,31717,38313,39983,33502,19258,6467,597,2020-12-23
Bulgaria,,,,,,6945,17594,31918,38560,40308,33837,19546,6573,605,2020-12-24
Bulgaria,,,,,,6970,17634,31990,38684,40450,34013,19684,6620,613,2020-12-25
Bulgaria,,,,,,6972,17653,32030,38717,40504,34058,19724,6643,614,2020-12-26
Bulgaria,,,,,,6981,17677,32087,38776,40595,34154,19808,6687,619,2020-12-27
Bulgaria,,,,,,6986,17698,32119,38837,40655,34228,19868,6704,621,2020-12-28
Bulgaria,,,,,,6991,17721,32150,38894,40714,34292,19932,6733,626,2020-12-29
Bulgaria,,,,,,7021,17797,32328,39129,41003,34590,20154,6842,627,2020-12-30
Bulgaria,,,,,,7055,17913,32536,39402,41357,34946,20438,6940,633,2020-12-31
Bulgaria,,,,,,7079,17977,32653,39562,41575,35163,20615,7000,642,2021-01-01
Bulgaria,,,,,,7084,17992,32703,39614,41621,35211,20662,7011,642,2021-01-02
Bulgaria,,,,,,7091,18013,32744,39667,41676,35269,20743,7031,646,2021-01-03
Bulgaria,,,,,,7103,18025,32770,39690,41716,35295,20762,7042,648,2021-01-04
Bulgaria,,,,,,7126,18106,32904,39854,41918,35488,20912,7120,652,2021-01-05
Bulgaria,,,,,,7162,18206,33090,40056,42161,35742,21125,7185,663,2021-01-06
Bulgaria,,,,,,7188,18289,33218,40229,42333,35925,21290,7253,667,2021-01-07
Bulgaria,,,,,,7214,18366,33334,40368,42494,36093,21416,7304,670,2021-01-08
Bulgaria,,,,,,7242,18428,33423,40492,42618,36219,21546,7365,679,2021-01-09
Bulgaria,,,,,,7253,18466,33487,40554,42682,36299,21596,7387,682,2021-01-10
Bulgaria,,,,,,7256,18475,33498,40568,42707,36315,21615,7393,684,2021-01-11
Bulgaria,,,,,,7276,18522,33581,40672,42820,36434,21694,7445,687,2021-01-12
Bulgaria,,,,,,7299,18584,33688,40806,42947,36558,21821,7481,697,2021-01-13
Bulgaria,,,,,,7316,18609,33764,40895,43043,36664,21918,7509,698,2021-01-14
Bulgaria,,,,,,7334,18641,33851,40980,43150,36764,21990,7538,703,2021-01-15
Bulgaria,,,,,,7355,18682,33919,41066,43228,36877,22080,7583,713,2021-01-16
Bulgaria,,,,,,7364,18700,33947,41106,43266,36925,22112,7600,716,2021-01-17
Bulgaria,,,,,,7370,18706,33956,41115,43274,36947,22127,7602,716,2021-01-18
Bulgaria,,,,,,7391,18745,34037,41229,43375,37036,22222,7629,719,2021-01-19
Bulgaria,,,,,,7408,18776,34117,41328,43488,37136,22299,7655,720,2021-01-20
Bulgaria,,,,,,7424,18813,34181,41400,43575,37236,22374,7685,721,2021-01-21
Bulgaria,,,,,,7438,18843,34263,41482,43656,37318,22435,7706,723,2021-01-22
Bulgaria,,,,,,7460,18880,34353,41577,43769,37417,22512,7737,725,2021-01-23
Bulgaria,,,,,,7474,18906,34392,41632,43818,37459,22546,7742,727,2021-01-24
Bulgaria,,,,,,7480,18916,34407,41655,43833,37481,22565,7751,729,2021-01-25
Bulgaria,,,,,,7511,18970,34507,41802,43988,37626,22662,7790,733,2021-01-26
Bulgaria,,,,,,7543,19035,34612,41971,44164,37788,22750,7819,734,2021-01-27
Bulgaria,,,,,,7566,19072,34701,42081,44290,37893,22823,7850,738,2021-01-28
Bulgaria,,,,,,7593,19108,34786,42198,44406,38008,22874,7861,740,2021-01-29
Bulgaria,,,,,,7625,19152,34882,42325,44542,38133,22973,7891,746,2021-01-30
Bulgaria,,,,,,7647,19185,34934,42390,44606,38188,23009,7913,746,2021-01-31
Bulgaria,,,,,,7650,19193,34957,42414,44633,38206,23029,7917,749,2021-02-01
Bulgaria,,,,,,7673,19247,35071,42558,44824,38376,23133,7945,753,2021-02-02
Bulgaria,,,,,,7724,19318,35230,42758,44997,38550,23236,7978,756,2021-02-03
Bulgaria,,,,,,7748,19371,35330,42884,45150,38688,23328,8009,758,2021-02-04
Bulgaria,,,,,,7779,19433,35474,43046,45324,38832,23455,8045,761,2021-02-05
Bulgaria,,,,,,7811,19512,35613,43208,45497,38998,23562,8092,766,2021-02-06
Bulgaria,,,,,,7833,19546,35686,43299,45608,39083,23619,8110,768,2021-02-07
Bulgaria,,,,,,7840,19554,35715,43328,45642,39117,23650,8118,770,2021-02-08
Bulgaria,,,,,,7874,19639,35885,43539,45884,39321,23767,8167,773,2021-02-09
Bulgaria,,,,,,7921,19709,36084,43771,46144,39552,23896,8209,775,2021-02-10
Bulgaria,,,,,,7949,19768,36237,43924,46334,39734,23998,8252,778,2021-02-11
Bulgaria,,,,,,8000,19842,36389,44099,46551,39940,24135,8304,784,2021-02-12
Bulgaria,,,,,,8045,19923,36527,44263,46746,40126,24240,8353,787,2021-02-13
Bulgaria,,,,,,8065,19979,36618,44370,46805,40213,24303,8375,788,2021-02-14
Bulgaria,,,,,,8073,19988,36650,44394,46826,40255,24319,8385,789,2021-02-15
Bulgaria,,,,,,8103,20058,36799,44588,47060,40449,24468,8428,794,2021-02-16
Bulgaria,,,,,,8153,20161,36996,44834,47327,40716,24643,8468,798,2021-02-17
Bulgaria,,,,,,8195,20251,37191,45072,47565,40956,24803,8508,801,2021-02-18
Bulgaria,,,,,,8232,20327,37359,45276,47767,41152,24965,8548,802,2021-02-19
Bulgaria,,,,,,8289,20449,37581,45543,48055,41418,25149,8603,804,2021-02-20
Bulgaria,,,,,,8315,20489,37659,45654,48157,41506,25214,8639,806,2021-02-21
Bulgaria,,,,,,8328,20511,37706,45713,48184,41542,25227,8649,806,2021-02-22
Bulgaria,,,,,,8395,20645,37980,46119,48554,41899,25457,8728,814,2021-02-23
Bulgaria,,,,,,8476,20775,38234,46473,48895,42238,25678,8800,822,2021-02-24
Bulgaria,,,,,,8536,20899,38500,46771,49226,42565,25919,8880,828,2021-02-25
Bulgaria,,,,,,8618,21025,38784,47124,49581,42913,26120,8950,831,2021-02-26
Bulgaria,,,,,,8687,21176,39020,47411,49889,43223,26357,9029,835,2021-02-27
Bulgaria,,,,,,8730,21273,39203,47608,50071,43417,26478,9085,841,2021-02-28
Bulgaria,,,,,,8745,21286,39244,47663,50128,43499,26527,9103,843,2021-03-01
Bulgaria,,,,,,8850,21471,39618,48142,50635,44013,26844,9203,850,2021-03-02
Bulgaria,,,,,,8956,21631,39974,48590,51140,44447,27129,9304,858,2021-03-03
Bulgaria,,,,,,9007,21721,40167,48811,51340,44652,27284,9341,860,2021-03-04
Bulgaria,,,,,,9092,21885,40445,49261,51782,45057,27565,9430,864,2021-03-05
Bulgaria,,,,,,9225,22123,40884,49850,52356,45608,27939,9528,872,2021-03-06
Bulgaria,,,,,,9275,22238,41123,50078,52634,45861,28138,9586,878,2021-03-07
Bulgaria,,,,,,9297,22271,41178,50151,52725,45961,28223,9620,882,2021-03-08
Bulgaria,,,,,,9393,22498,41614,50760,53320,46520,28569,9740,889,2021-03-09
Bulgaria,,,,,,9533,22760,42135,51416,54029,47188,28989,9853,902,2021-03-10
Bulgaria,,,,,,9671,22984,42517,51894,54557,47705,29346,9991,914,2021-03-11
Bulgaria,,,,,,9790,23257,43002,52497,55106,48247,29745,10132,924,2021-03-12
Bulgaria,,,,,,9936,23503,43454,53113,55679,48836,30151,10253,934,2021-03-13
Bulgaria,,,,,,10028,23684,43806,53474,56016,49176,30412,10339,943,2021-03-14
Bulgaria,,,,,,10046,23738,43898,53589,56136,49310,30507,10386,947,2021-03-15
